TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51163,50,1.000000,12.17144,1.5,20.00000,2.053989,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51165,50,1.000000,6.449280,1.5,20.00000,3.876399,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51167,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51171,50,1.000000,31.46519,1.5,20.00000,0.794529,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51173,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51175,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51177,50,1.000000,12.14952,1.5,20.00000,2.057694,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51179,50,1.000000,2.061659,1.5,20.00000,12.12613,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51181,50,1.000000,52.82018,1.5,20.00000,0.473304,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51183,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51187,50,1.000000,23.49180,1.5,20.00000,1.064200,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51191,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51193,50,1.000000,46.92139,1.5,20.00000,0.532806,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51195,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51197,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51199,50,1.000000,36.72306,1.5,20.00000,0.680771,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51510,50,1.000000,75.01411,1.5,20.00000,0.333270,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51515,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51520,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51530,50,1.000000,14.81580,1.5,20.00000,1.687388,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51540,50,1.000000,4.698292,1.5,20.00000,5.321082,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51550,50,1.000000,1.568119,1.5,20.00000,15.94268,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51570,50,1.000000,0.929609,1.5,20.00000,26.89303,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51580,50,1.000000,15.89536,1.5,20.00000,1.572788,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51590,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51595,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51600,50,1.000000,0.947904,1.5,20.00000,26.37394,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51610,50,1.000000,48.71353,1.5,20.00000,0.513204,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51620,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51630,50,1.000000,2.343400,1.5,20.00000,10.66826,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51640,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51650,50,1.000000,0.917446,1.5,20.00000,27.24956,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51660,50,1.000000,77.25161,1.5,20.00000,0.323617,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51670,50,1.000000,0.751658,1.5,20.00000,33.25983,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51678,50,1.000000,1.406202,1.5,20.00000,17.77839,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51680,50,1.000000,13.32611,1.5,20.00000,1.876017,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51683,50,1.000000,0.784963,1.5,20.00000,31.84863,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51685,50,1.000000,0.794501,1.5,20.00000,31.46636,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51690,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51700,50,1.000000,0.660642,1.5,20.00000,37.84196,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
