CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
SL3_2420_2700,1576754,2420,42,"CONESTOGA RIVER AT CONESTOGA, PA","Gage is mid-poly, but represents itself",yes,yes
SL3_2460_2430,1574000,2460,42,"WEST CONEWAGO CREEK NEAR MANCHESTER, PA",,yes,yes
SL3_2730_2550,1575500,2730,42,"CODORUS CREEK NEAR YORK, PA",,yes,yes
SL4_2090_2100,1573000,2090,42,"SWATARA CREEK AT HARPER TAVERN, PA",,yes,yes
SL4_2140_2240,1573560,2140,42,"SWATARA CREEK NEAR HERSHEY, PA",,yes,yes
SL4_2370_2330,1570000,2370,42,"CONODOGUINET CREEK NEAR HOGESTOWN, PA",,yes,yes
SL8_1760_1780,1554000,1760,42,"SUSQUEHANNA RIVER AT SUNBURY, PA",gage mid-poly  1530 1680 would drain to it,yes,yes
SL9_2270_0003,1570500,2270,42,"SUSQUEHANNA RIVER AT HARRISBURG, PA",DB 2050 2330 drain to this gage,yes,yes
SL9_2490_2520,1576000,2490,42,"SUSQUEHANNA RIVER AT MARIETTA, PA",,yes,yes
SL9_2720_0001,1578310,2720,24,"SUSQUEHANNA RIVER AT CONOWINGO, MD",,yes,yes
SU1_0080_0210,1502000,80,36,BUTTERNUT CREEK AT MORRIS NY,,yes,yes
SU1_0820_0740,1518862,820,42,"COWANESQUE RIVER AT WESTFIELD, PA",,yes,yes
SU2_0020_0140,1496500,20,36,OAKS CREEK AT INDEX NY,,no,no
SU2_0110_0240,1510000,110,36,OTSELIC RIVER AT CINCINNATUS NY,,yes,yes
SU2_0291_0320,1500000,291,36,OULEOUT CREEK AT EAST SIDNEY NY,,yes,yes
SU2_0510_0570,1524500,510,36,CANISTEO R BELOW CANACADEA CR @ HORNELL NY,,yes,yes
SU2_0670_0810,1534300,670,42,"LACKAWANNA RIVER NEAR FOREST CITY, PA.",,yes,yes
SU2_0741_0690,1520000,741,42,"COWANESQUE RIVER NR LAWRENCEVILLE, PA",,yes,yes
SU2_0900_0870,1532000,900,42,"TOWANDA CREEK NEAR MONROETON, PA",,yes,yes
SU2_0920_0830,1516350,920,42,"TIOGA RIVER NEAR MANSFIELD, PA",,yes,yes
SU3_0090_0170,1505000,90,36,CHENANGO RIVER AT SHERBURNE NY,,yes,yes
SU3_0370_0490,1529500,370,36,COHOCTON RIVER NEAR CAMPBELL NY,,yes,yes
SU3_0710_0910,1534000,710,42,"TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA",,yes,yes
SU3_0790_0770,1518700,790,42,"TIOGA RIVER AT TIOGA JUNCTION, PA",,yes,yes
SU3_0810_0970,1534500,810,42,"LACKAWANNA RIVER AT ARCHBALD, PA.",,yes,yes
SU3_0831_0790,1518000,831,42,"TIOGA RIVER AT TIOGA, PA",,yes,yes
SU3_0970_1120,1536000,970,42,"LACKAWANNA RIVER AT OLD FORGE, PA.",,yes,yes
SU3_1310_1280,1539000,1310,42,"FISHING CREEK NEAR BLOOMSBURG, PA.",,yes,yes
SU4_0260_0003,1509000,260,36,TIOUGHNIOGA RIVER AT CORTLAND NY,DB 120 160 drain to this gage,yes,yes
SU4_0300_0310,1502500,300,36,UNADILLA RIVER AT ROCKDALE NY,"DB 190 210 drain to this gage Area is very close, so kept at 300",yes,yes
SU4_0690_0650,1520500,690,36,TIOGA RIVER AT LINDLEY NY,,yes,yes
SU5_0340_0310,1500500,340,36,SUSQUEHANNA RIVER AT UNADILLA NY,"DB 250 320 drain to this gage Area is very close, so kept at 340",yes,yes
SU5_0420_0003,1512500,420,36,CHENANGO RIVER NEAR CHENANGO FORKS NY,DB 430 350 drain to this gage,yes,yes
SU5_0530_0003,1529950,530,36,CHEMUNG RIVER AT CORNING NY,DB 490 650 drain to this gage,yes,yes
SU5_0610_0600,1531000,610,36,CHEMUNG RIVER AT CHEMUNG NY,,yes,yes
SU5_0650_0003,1526500,650,36,TIOGA RIVER NEAR ERWINS NY,DB 630 690 drain to this gage,yes,yes
SU6_0480_0520,1503000,480,36,SUSQUEHANNA RIVER AT CONKLIN NY,,yes,yes
SU7_0720_0003,1515000,720,42,SUSQUEHANNA RIVER NEAR WAVERLY NY,DB 450 540 drain to this gage,yes,yes
SU7_0850_0730,1531500,850,42,"SUSQUEHANNA RIVER AT TOWANDA, PA","Gage is mid-polygon, would be double  750 800",yes,yes
SU7_0960_0003,1533400,960,42,"SUSQUEHANNA RIVER AT MESHOPPEN, PA",DB 760 860 drain to this gage,yes,yes
SU7_1120_1140,1536500,1120,42,"SUSQUEHANNA RIVER AT WILKES-BARRE, PA",,yes,yes
SU8_1610_1530,1540500,1610,42,"SUSQUEHANNA RIVER AT DANVILLE, PA",,yes,yes
SW0_1520_1600,1547950,1520,42,"BEECH CREEK AT MONUMENT, PA",,yes,yes
SW1_1180_1190,1552500,1180,42,"MUNCY CREEK NEAR SONESTOWN, PA",,yes,yes
SW1_1450_1510,1553700,1450,42,"CHILLISQUAQUE CREEK AT WASHINGTONVILLE, PA",,yes,yes
SW1_1830_1690,1547100,1830,42,"SPRING CREEK AT MILESBURG, PA",,yes,yes
SW1_1890_1830,1546500,1890,42,"SPRING CREEK NEAR AXEMANN, PA.",,yes,yes
SW1_1910_1890,1546400,1910,42,"SPRING CREEK AT HOUSERVILLE, PA",,yes,yes
SW2_1100_1130,1544500,1100,42,"KETTLE CREEK AT CROSS FORK, PA",,yes,yes
SW3_1040_1220,1550000,1040,42,"LYCOMING CREEK NEAR TROUT RUN, PA",,yes,yes
SW3_1091_1380,1544000,1091,42,"F FORK SINNEMAHONING CR NR SINNEMAHONING, PA",,yes,yes
SW3_1130_1390,1545000,1130,42,"KETTLE CREEK NEAR WESTPORT, PA",,yes,yes
SW3_1270_1370,1543000,1270,42,"DRIFTWOOD BR SINNEMAHONING CR AT STERLING RUN, PA",,yes,yes
SW3_1580_0003,1548005,1580,42,"BALD EAGLE CREEK NEAR BEECH CREEK STATION, PA",DB 1600  1660 drain to this gage,yes,yes
SW3_1690_0003,1547200,1690,42,"BALD EAGLE CREEK BL SPRING CREEK AT MILESBURG, PA",DB 1770 1830 drain to this gage,yes,yes
SW3_1690_1660,1547500,1690,42,"BALD EAGLE CREEK AT BLANCHARD, PA",,yes,yes
SW3_1870_1800,1541500,1870,42,"CLEARFIELD CREEK AT DIMELING, PA",,yes,yes
SW3_1920_1750,1542000,1920,42,"MOSHANNON CREEK AT OSCEOLA MILLS, PA.",,yes,yes
SW4_1110_1150,1548500,1110,42,"PINE CREEK AT CEDAR RUN, PA",,yes,yes
SW4_1260_0003,1552000,1260,42,"LOYALSOCK CREEK AT LOYALSOCKVILLE, PA",DB 1160 1060 drain to this gage,yes,yes
SW4_1430_1490,1543500,1430,42,"SINNEMAHONING CREEK AT SINNEMAHONING, PA","Gage is mid-poly can rep itself, or DB 1360 1370",yes,yes
SW4_1720_1650,1541303,1720,42,"WEST BRANCH SUSQUEHANNA RIVER AT HYDE, PA",Gage is mid-polygon but probably can represent itself,yes,yes
SW4_1860_1720,1541200,1860,42,"WB SUSQUEHANNA RIVER NEAR CURWENSVILLE, PA",,yes,yes
SW4_1940_1860,1541000,1940,42,"WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA",,yes,yes
SW5_1350_0003,1549700,1350,42,"PINE CREEK BL L PINE CREEK NEAR WATERVILLE, PA",DB  1080 1150 drain to this gage gage is 1/3 way in watershed,yes,yes
SW5_1540_0003,1542500,1540,42,"WB SUSQUEHANNA RIVER AT KARTHAUS, PA",DB 1650 1750 drain to this gage,yes,yes
SW6_1330_1230,1545500,1330,42,"WEST BRANCH SUSQUEHANNA RIVER AT RENOVO, PA",,yes,yes
