landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A36097,0,0.2475,0.375,0.443,0.0853,0.8003,1.0125,0.6197,0.18,0.0619,0,0,0.6194,0.0969,0.1219,0.1218,10.6793,8.505,0,0.198,0.4957,0.6402,0.0495,0.4955,0.0775
A36101,0,0.2475,0.375,0.443,0.0802,0.7062,1.0125,0.588,0.18,0.0529,0,0,0.5879,0.096,0.0932,0.0931,10.5767,8.505,0,0.198,0.4704,0.5649,0.0423,0.4703,0.0768
A36107,0,0.2475,0.375,0.443,0.0831,0.7611,1.0125,0.6759,0.18,0.0576,0,0,0.6755,0.1034,0.133,0.133,11.3984,8.505,0,0.198,0.5407,0.6089,0.0461,0.5404,0.0827
A36109,0,0.2475,0.375,0.443,0.0889,0.7029,1.0125,0.5985,0.18,0.05,0,0,0.5983,0.1176,0.1596,0.1596,12.9554,8.505,0,0.198,0.4788,0.5623,0.04,0.4786,0.0941
A36123,0,0.2475,0.375,0.443,0.0846,0.8403,1.0125,0.6052,0.18,0.0674,0,0,0.605,0.1164,0.1192,0.1192,12.8249,8.505,0,0.198,0.4842,0.6722,0.054,0.484,0.0931
A42001,0,0.2475,0.375,0.443,0.11,0.7531,1.0125,0.5428,0.18,0.1414,0,0,0.5427,0.1388,0.1329,0.1328,15.2943,8.505,0,0.198,0.4342,0.6025,0.1131,0.4342,0.111
A42009,0,0.2475,0.375,0.443,0.0882,0.7265,1.0125,0.5636,0.18,0.1176,0,0,0.5635,0.1298,0.128,0.128,14.3061,8.505,0,0.198,0.4509,0.5812,0.0941,0.4508,0.1039
A42011,0,0.2475,0.375,0.443,0.1113,0.723,1.0125,0.5402,0.18,0.1302,0,0,0.5402,0.2269,0.224,0.224,24.9999,8.505,0,0.198,0.4322,0.5784,0.1041,0.4321,0.1815
A42013,0,0.2475,0.375,0.443,0.0967,0.7244,1.0125,0.5895,0.18,0.1264,0,0,0.5894,0.2318,0.149,0.149,25.5481,8.505,0,0.198,0.4716,0.5796,0.1011,0.4715,0.1855
A42015,0,0.2475,0.375,0.443,0.0875,0.776,1.0125,0.5563,0.18,0.1166,0,0,0.5562,0.1331,0.1225,0.1224,14.6716,8.505,0,0.198,0.445,0.6208,0.0933,0.445,0.1065
A42021,0,0.2475,0.375,0.443,0.1064,0.7983,1.0125,0.5093,0.18,0.1182,0,0,0.5093,0.126,0.1893,0.1893,13.8874,8.505,0,0.198,0.4075,0.6387,0.0946,0.4075,0.1008
A42023,0,0.2475,0.375,0.443,0.0864,0.7667,1.0125,0.5909,0.18,0.1902,0,0,0.6115,0.2227,0.1796,0.1795,24.5403,8.505,0,0.198,0.4727,0.6133,0.1521,0.4892,0.1782
A42025,0,0.2475,0.375,0.443,0.1008,0.7063,1.0125,0.5021,0.18,0.1208,0,0,0.3785,0.128,0.2462,0.2462,14.1061,8.505,0,0.198,0.4017,0.565,0.0967,0.3028,0.1024
A42027,0,0.2475,0.375,0.443,0.0923,1.2885,1.0125,0.5028,0.18,0.121,0,0,0.5028,0.1426,0.1317,0.1317,15.7127,8.505,0,0.198,0.4022,1.0308,0.0968,0.4022,0.1141
A42029,0,0.2475,0.375,0.443,0.1211,0.7245,1.0125,0.4914,0.18,0.1386,0,0,0.4915,0.1802,0.1555,0.1554,19.855,8.505,0,0.198,0.3931,0.5796,0.1108,0.3932,0.1441
A42033,0,0.2475,0.375,0.443,0.0912,0.815,1.0125,0.5152,0.18,0.1203,0,0,0.5152,0.1178,0.1756,0.1756,12.9801,8.505,0,0.198,0.4121,0.652,0.0962,0.4121,0.0942
A42035,0,0.2475,0.375,0.443,0.0867,0.6989,1.0125,0.5217,0.18,0.1234,0,0,0.5217,0.1798,0.1737,0.1737,19.8189,8.505,0,0.198,0.4174,0.5591,0.0987,0.4174,0.1439
A42037,0,0.2475,0.375,0.443,0.0928,1.0781,1.0125,0.5096,0.18,0.1148,0,0,0.5096,0.1331,0.1827,0.1827,14.6624,8.505,0,0.198,0.4077,0.8625,0.0918,0.4077,0.1064
A42041,0,0.2475,0.375,0.443,0.103,0.7283,1.0125,0.5427,0.18,0.1246,0,0,0.5426,0.192,0.1359,0.1359,21.1531,8.505,0,0.198,0.4341,0.5827,0.0997,0.4341,0.1536
A42043,0,0.2475,0.375,0.443,0.1057,0.7351,1.0125,0.5568,0.18,0.1338,0,0,0.5568,0.1825,0.1278,0.1278,20.1066,8.505,0,0.198,0.4455,0.588,0.1071,0.4454,0.146
A42047,0,0.2475,0.375,0.443,0.0914,0.7164,1.0125,0.5377,0.18,0.1176,0,0,0.5376,0.1094,0.1795,0.1795,12.0564,8.505,0,0.198,0.4301,0.5731,0.094,0.4301,0.0875
A42055,0,0.2475,0.375,0.443,0.1081,0.743,1.0125,0.5661,0.18,0.1282,0,0,0.566,0.2267,0.1227,0.1226,24.9808,8.505,0,0.198,0.4529,0.5944,0.1026,0.4528,0.1813
A42057,0,0.2475,0.375,0.443,0.092,0.7838,1.0125,0.5542,0.18,0.1244,0,0,0.5541,0.1217,0.1183,0.1183,13.4151,8.505,0,0.198,0.4433,0.6271,0.0995,0.4433,0.0974
A42061,0,0.2475,0.375,0.443,0.0881,0.7187,1.0125,0.5631,0.18,0.1239,0,0,0.563,0.1369,0.1355,0.1355,15.0888,8.505,0,0.198,0.4505,0.575,0.0991,0.4504,0.1095
A42063,0,0.2475,0.375,0.443,0.1008,0.7024,1.0125,0.5175,0.18,0.1189,0,0,0.5175,0.1257,0.1941,0.1941,13.8487,8.505,0,0.198,0.414,0.5619,0.0951,0.414,0.1005
