landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A42041,52.62300419,0.165,0.75,0.6563,0.0515,2.4278,0.225,0.9044,0.12,0.4983,5.5104,5.5104,0.7415,0.5119,0.2717,0.2717,24.314,12.6,5.5104,0.132,0.7235,1.9422,0.3986,0.5932,0.4095
A42043,101.8018727,0.165,0.75,0.6563,0.0529,2.4502,0.225,0.9281,0.12,0.5353,5.7365,5.7365,0.7609,0.4865,0.2555,0.2555,23.111,12.6,5.7365,0.132,0.7425,1.9601,0.4283,0.6087,0.3892
A42047,14.82329061,0.165,0.75,0.6563,0.0457,2.388,0.225,0.8961,0.12,0.4702,5.6756,5.6755,0.7348,0.2917,0.3591,0.359,13.8579,12.6,5.6756,0.132,0.7169,1.9104,0.3762,0.5878,0.2334
A42055,105.3159653,0.165,0.75,0.6563,0.0541,2.4767,0.225,0.9435,0.12,0.5128,5.8102,5.8102,0.7735,0.6045,0.2454,0.2453,28.7136,12.6,5.8102,0.132,0.7548,1.9814,0.4102,0.6188,0.4836
A42057,56.52087672,0.165,0.75,0.6563,0.046,2.6127,0.225,0.9236,0.12,0.4974,4.669,4.669,0.7572,0.3246,0.2366,0.2366,15.4197,12.6,4.669,0.132,0.7389,2.0902,0.3979,0.6058,0.2597
A42061,53.08382283,0.165,0.75,0.6563,0.0441,2.3958,0.225,0.9384,0.12,0.4954,4.5872,4.5872,0.7694,0.3651,0.2711,0.271,17.3435,12.6,4.5872,0.132,0.7508,1.9166,0.3963,0.6155,0.2921
A42063,29.81551675,0.165,0.75,0.6563,0.0504,2.3413,0.225,0.8625,0.12,0.4757,5.9145,5.9145,0.7073,0.3351,0.3882,0.3881,15.9181,12.6,5.9145,0.132,0.69,1.8731,0.3806,0.5658,0.2681
A42065,23.42516238,0.165,0.75,0.6563,0.0467,2.5133,0.225,0.8281,0.12,0.4661,5.4769,5.4769,0.6791,0.3046,0.3805,0.3804,14.4701,12.6,5.4769,0.132,0.6625,2.0106,0.3729,0.5433,0.2437
A42067,143.7893446,0.165,0.75,0.6563,0.0488,2.4727,0.225,0.9237,0.12,0.7,5.1352,5.1352,0.7573,0.4698,0.2497,0.2496,22.3139,12.6,5.1352,0.132,0.7389,1.9781,0.56,0.6058,0.3758
A42069,32.84686643,0.165,0.75,0.6563,0.0487,2.3438,0.225,0.9948,0.12,0.4878,5.5749,5.5748,0.8155,0.3218,0.3127,0.3126,15.2873,12.6,5.5749,0.132,0.7959,1.875,0.3902,0.6524,0.2575
