TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42113,0.001000,1,0.03,0.3,0,50,1037.096,5,0.5,2,0,550,345.0215,5,1,8,0,300,8.898000,6,0.5,1,0,100,0,0,0,0,na,na
A42115,0.,1,0.03,0.3,0,50,1714.843,5,0.5,2,0,550,328.8580,5,1,8,0,300,7.781000,6,0.5,1,0,100,0,0,0,0,na,na
A42117,0.,1,0.03,0.3,0,50,725.3565,5,0.5,2,0,550,248.5655,5,1,8,0,300,6.321500,6,0.5,1,0,100,0,0,0,0,na,na
A42119,0.001000,1,0.03,0.3,0,50,1321.276,5,0.5,2,0,550,349.0910,5,1,8,0,300,7.225000,6,0.5,1,0,100,0,0,0,0,na,na
A42127,0.,1,0.03,0.3,0,50,3089.049,5,0.5,2,0,550,349.8160,5,1,8,0,300,8.006000,6,0.5,1,0,100,0,0,0,0,na,na
A42131,0.,1,0.03,0.3,0,50,398.2315,5,0.5,2,0,550,302.8875,5,1,8,0,300,7.910500,6,0.5,1,0,100,0,0,0,0,na,na
A42133,0.001000,1,0.03,0.3,0,50,434.7720,5,0.5,2,0,550,336.3590,5,1,8,0,300,6.864000,6,0.5,1,0,100,0,0,0,0,na,na
A47091,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A47163,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51001,0.010000,1,0.03,0.3,0,50,444.4770,5,0.5,2,0,550,155.0845,5,1,8,0,300,3.747000,6,0.5,1,0,100,0,0,0,0,na,na
A51003,0.005000,1,0.03,0.3,0,50,274.4710,5,0.5,2,0,550,167.2200,5,1,8,0,300,4.374500,6,0.5,1,0,100,0,0,0,0,na,na
A51005,0.,1,0.03,0.3,0,50,550.9745,5,0.5,2,0,550,332.2050,5,1,8,0,300,7.755500,6,0.5,1,0,100,0,0,0,0,na,na
A51007,0.003000,1,0.03,0.3,0,50,712.3545,5,0.5,2,0,550,51.10950,5,1,8,0,300,1.180500,6,0.5,1,0,100,0,0,0,0,na,na
A51009,0.005000,1,0.03,0.3,0,50,42.30850,5,0.5,2,0,550,113.1690,5,1,8,0,300,4.225500,6,0.5,1,0,100,0,0,0,0,na,na
A51011,0.004000,1,0.03,0.3,0,50,799.3150,5,0.5,2,0,550,178.4030,5,1,8,0,300,3.672500,6,0.5,1,0,100,0,0,0,0,na,na
A51013,0.002000,1,0.03,0.3,0,50,1651.781,5,0.5,2,0,550,194.0625,5,1,8,0,300,3.196500,6,0.5,1,0,100,0,0,0,0,na,na
A51015,0.005000,1,0.03,0.3,0,50,38.05850,5,0.5,2,0,550,172.6130,5,1,8,0,300,5.825500,6,0.5,1,0,100,0,0,0,0,na,na
A51017,0.,1,0.03,0.3,0,50,981.9140,5,0.5,2,0,550,288.3130,5,1,8,0,300,6.193500,6,0.5,1,0,100,0,0,0,0,na,na
A51019,0.,1,0.03,0.3,0,50,670.3360,5,0.5,2,0,550,273.6680,5,1,8,0,300,5.643000,6,0.5,1,0,100,0,0,0,0,na,na
A51021,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51023,0.001000,1,0.03,0.3,0,50,946.5020,5,0.5,2,0,550,320.9970,5,1,8,0,300,6.740500,6,0.5,1,0,100,0,0,0,0,na,na
A51025,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51027,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51029,0.003500,1,0.03,0.3,0,50,783.2710,5,0.5,2,0,550,116.9015,5,1,8,0,300,2.671500,6,0.5,1,0,100,0,0,0,0,na,na
A51031,0.006000,1,0.03,0.3,0,50,548.5240,5,0.5,2,0,550,168.0230,5,1,8,0,300,3.693500,6,0.5,1,0,100,0,0,0,0,na,na
A51033,0.009000,1,0.03,0.3,0,50,113.5290,5,0.5,2,0,550,229.9720,5,1,8,0,300,4.755500,6,0.5,1,0,100,0,0,0,0,na,na
A51035,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51036,0.014000,1,0.03,0.3,0,50,51.04350,5,0.5,2,0,550,55.53600,5,1,8,0,300,1.933000,6,0.5,1,0,100,0,0,0,0,na,na
A51037,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51041,0.014000,1,0.03,0.3,0,50,23.40150,5,0.5,2,0,550,18.71250,5,1,8,0,300,1.341000,6,0.5,1,0,100,0,0,0,0,na,na
A51043,0.012000,1,0.03,0.3,0,50,55.94950,5,0.5,2,0,550,79.06400,5,1,8,0,300,3.161500,6,0.5,1,0,100,0,0,0,0,na,na
A51045,0.001000,1,0.03,0.3,0,50,356.5440,5,0.5,2,0,550,407.1835,5,1,8,0,300,9.026501,6,0.5,1,0,100,0,0,0,0,na,na
A51047,0.003000,1,0.03,0.3,0,50,302.7395,5,0.5,2,0,550,301.9940,5,1,8,0,300,6.107000,6,0.5,1,0,100,0,0,0,0,na,na
A51049,0.004000,1,0.03,0.3,0,50,468.3115,5,0.5,2,0,550,82.18750,5,1,8,0,300,2.084500,6,0.5,1,0,100,0,0,0,0,na,na
A51051,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51053,0.007500,1,0.03,0.3,0,50,547.9695,5,0.5,2,0,550,59.90400,5,1,8,0,300,1.489500,6,0.5,1,0,100,0,0,0,0,na,na
A51057,0.008000,1,0.03,0.3,0,50,67.89200,5,0.5,2,0,550,329.6105,5,1,8,0,300,6.139000,6,0.5,1,0,100,0,0,0,0,na,na
A51059,0.005500,1,0.03,0.3,0,50,442.4790,5,0.5,2,0,550,163.8600,5,1,8,0,300,3.599000,6,0.5,1,0,100,0,0,0,0,na,na
A51061,0.007500,1,0.03,0.3,0,50,212.0745,5,0.5,2,0,550,40.31400,5,1,8,0,300,1.721500,6,0.5,1,0,100,0,0,0,0,na,na
A51063,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51065,0.013500,1,0.03,0.3,0,50,150.2630,5,0.5,2,0,550,96.08950,5,1,8,0,300,3.234000,6,0.5,1,0,100,0,0,0,0,na,na
A51067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51069,0.004000,1,0.03,0.3,0,50,108.2065,5,0.5,2,0,550,78.34200,5,1,8,0,300,3.113500,6,0.5,1,0,100,0,0,0,0,na,na
