TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A51001,1,37.7649499,26.93,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51003,1,38.00290272,550.05,0.05,1.3,1.43,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.43,0,0.9
A51005,1,37.78736826,1527.44,0.05,1.3,4.04,0.12,32,0.13,0.5,0.03,0.03,2.268,0,0,0.15,100,30,4.04,0,0.9
A51007,1,37.33596773,342.57,0.05,1.3,1.57,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.57,0,0.9
A51009,1,37.57203835,778.54,0.05,1.3,1.92,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.92,0,0.9
A51011,1,37.37221231,742.32,0.05,1.3,1.87,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.87,0,0.9
A51013,1,38.87867814,149.82,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51015,1,38.0547664,1469.45,0.05,1.3,3.48,0.12,32,0.13,0.5,0.03,0.03,2.196,0,0,0.15,100,30,3.48,0,0.9
A51017,1,38.0905299,2403.86,0.05,1.3,4.68,0.12,32,0.13,0.5,0.03,0.03,2.814,0,0,0.15,100,30,4.68,0,0.9
A51019,1,37.43082078,1596.40,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,0.63,0,0,0.15,100,30,2.7,0,0.9
A51021,1,37.13397283,2426.45,0.05,1.3,4.25,0.12,32,0.13,0.5,0.03,0.03,1.218,0,0,0.15,100,30,4.25,0,0.9
A51023,1,37.56616907,1187.66,0.05,1.3,2.18,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.18,0,0.9
A51025,1,36.76464062,312.67,0.05,1.3,1.68,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.68,0,0.9
A51027,1,37.2665169,1904.38768,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51029,1,37.57215843,527.08,0.05,1.3,1.89,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.89,0,0.9
A51031,1,37.2055934,759.99,0.05,1.3,1.72,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.72,0,0.9
A51033,1,38.02711124,192.98,0.05,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A51035,1,36.74225728,2542.50184,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51036,1,37.35414867,68.29,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51037,1,37.01146021,545.85,0.05,1.3,1.63,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.63,0,0.9
A51041,1,37.37850302,200.48,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51043,1,39.11213987,637.42,0.05,1.3,1.6,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.6,0,0.9
A51045,1,37.48150549,1872.66,0.05,1.3,4.34,0.12,32,0.13,0.5,0.03,0.03,1.896,0,0,0.15,100,30,4.34,0,0.9
A51047,1,38.4860175,409.68,0.05,1.3,1.36,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.36,0,0.9
A51049,1,37.51190424,399.16,0.05,1.3,1.77,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.77,0,0.9
A51051,1,37.12544034,1942.2028,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51053,1,37.07583845,240.22,0.05,1.3,1.38,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.38,0,0.9
A51057,1,37.93894658,96.27,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51059,1,38.83461365,289.90,0.05,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A51061,1,38.72523821,468.47,0.05,1.3,2.32,0.12,32,0.13,0.5,0.03,0.03,0.726,0,0,0.15,100,30,2.32,0,0.9
A51063,1,36.93157608,2566.70,0.05,1.3,4.61,0.12,32,0.13,0.5,0.03,0.03,1.032,0,0,0.15,100,30,4.61,0,0.9
A51065,1,37.84181973,413.48,0.05,1.3,1.43,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.43,0,0.9
A51067,1,36.98074562,1107.62,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51069,1,39.20442964,787.27,0.05,1.3,2.48,0.12,32,0.13,0.5,0.03,0.03,2.514,0,0,0.15,100,30,2.48,0,0.9
A51071,1,37.36837296,2091.10,0.05,1.3,3.34,0.12,32,0.13,0.5,0.03,0.03,1.062,0,0,0.15,100,30,3.34,0,0.9
A51073,1,37.40113672,53.96,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51075,1,37.72197667,295.58,0.05,1.3,1.2,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.2,0,0.9
A51077,1,36.64702276,2626.99136,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51079,1,38.2637209,620.34,0.05,1.3,2.22,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.22,0,0.9
A51081,1,36.67577225,155.94,0.05,1.3,1.27,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.27,0,0.9
A51083,1,36.76722095,499.30,0.05,1.3,1.51,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.51,0,0.9
A51085,1,37.76010464,191.12,0.05,1.3,1.66,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.66,0,0.9
A51087,1,37.53366081,191.95,0.05,1.3,1.23,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.23,0,0.9
A51089,1,36.72720249,873.70,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51091,1,38.39147032,2801.63,0.05,1.3,4.68,0.12,32,0.13,0.5,0.03,0.03,3.156,0,0,0.15,100,30,4.68,0,0.9
A51093,1,36.90666126,56.27,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51095,1,37.31312358,81.54,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51097,1,37.71853688,116.06,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51099,1,38.2737118,103.04,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51101,1,37.70657701,105.71,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51103,1,37.70168408,54.93,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51105,1,36.68002362,1667.41752,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A51107,1,39.09062225,364.90,0.05,1.3,1.53,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.53,0,0.9
