TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
B51091,0,0,0,78904.16,2,0.1,0.07675,1
B51105,0,0,0,2.5,2,0.1,0.07675,1
B51113,0,0,0,4.263852,2,0.1,0.07675,1
B51125,0,0,0,47.83546,2,0.1,0.07675,1
B51139,0,0,0,1.363065,2,0.1,0.07675,1
B51141,0,0,0,2.5,2,0.1,0.07675,1
B51157,0,0,0,0.987748,2,0.1,0.07675,1
B51161,0,0,0,2.5,2,0.1,0.07675,1
B51163,0,0,0,0.242E+08,2,0.1,0.07675,1
B51165,0,0,0,2819.377,2,0.1,0.07675,1
B51167,0,0,0,2.5,2,0.1,0.07675,1
B51169,0,0,0,2.5,2,0.1,0.07675,1
B51171,0,0,0,766.0057,2,0.1,0.07675,1
B51173,0,0,0,2.5,2,0.1,0.07675,1
B51185,0,0,0,2.5,2,0.1,0.07675,1
B51187,0,0,0,2.439391,2,0.1,0.07675,1
B51191,0,0,0,2.5,2,0.1,0.07675,1
B51195,0,0,0,2.5,2,0.1,0.07675,1
B51197,0,0,0,2.5,2,0.1,0.07675,1
B54023,0,0,0,338.3137,2,0.1,0.07675,1
B54031,0,0,0,17.10937,2,0.1,0.07675,1
B54057,0,0,0,11.65837,2,0.1,0.07675,1
B54071,0,0,0,8.242279,2,0.1,0.07675,1
C42009,0,0,0,2.083609,2,0.1,0.07675,1
C51015,0,0,0,2604.569,2,0.1,0.07675,1
C51071,0,0,0,2.5,2,0.1,0.07675,1
C51165,0,0,0,1602.177,2,0.1,0.07675,1
end,,,,,,,,
