TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A51161,1,0,1,0,13.67743,0.500000,1.367743,13.67743,0.500000
A51163,1,0,1,0,13.72882,0.500000,1.372883,13.72882,0.500000
A51165,1,0,1,0,14.10817,0.500000,1.410818,14.10817,0.500000
A51167,1,0,1,0,17.35759,0.500000,1.735759,17.35759,0.500000
A51169,1,0,1,0,14.14143,0.500000,1.414143,14.14143,0.500000
A51171,1,0,1,0,14.01509,0.500000,1.401509,14.01509,0.500000
A51173,1,0,1,0,25.86312,0.500000,2.586312,25.86312,0.500000
A51175,1,0,1,0,22.57713,0.500000,2.257713,22.57713,0.500000
A51177,1,0,1,0,13.40671,0.500000,1.340672,13.40671,0.500000
A51179,1,0,1,0,13.34596,0.500000,1.334596,13.34596,0.500000
A51181,1,0,1,0,13.13837,0.500000,1.313838,13.13837,0.500000
A51183,1,0,1,0,23.38285,0.500000,2.338286,23.38285,0.500000
A51185,1,0,1,0,22.64968,0.500000,2.264968,22.64968,0.500000
A51187,1,0,1,0,13.89380,0.500000,1.389380,13.89380,0.500000
A51191,1,0,1,0,30.50522,0.500000,3.050522,30.50522,0.500000
A51193,1,0,1,0,13.37448,0.500000,1.337448,13.37448,0.500000
A51195,1,0,1,0,28.67312,0.500000,2.867312,28.67312,0.500000
A51197,1,0,1,0,22.23846,0.500000,2.223846,22.23846,0.500000
A51199,1,0,1,0,13.04540,0.500000,1.304541,13.04540,0.500000
A51510,1,0,1,0,13.53663,0.500000,1.353663,13.53663,0.500000
A51515,1,0,1,0,2.038519,0.500000,0.203853,2.038519,0.500000
A51520,1,0,1,0,1.903588,0.500000,0.190359,1.903588,0.500000
A51530,1,0,1,0,13.71159,0.500000,1.371159,13.71159,0.500000
A51540,1,0,1,0,13.51829,0.500000,1.351829,13.51829,0.500000
A51550,1,0,1,0,12.84781,0.500000,1.284781,12.84781,0.500000
A51570,1,0,1,0,13.36762,0.500000,1.336762,13.36762,0.500000
A51580,1,0,1,0,13.69032,0.500000,1.369032,13.69032,0.500000
A51590,1,0,1,0,2.035105,0.500000,0.203511,2.035105,0.500000
