TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42071,0.260000,1,0.03,0.3,0,50,222.4080,5,0.5,2,0,550,223.3330,5,1,8,0,300,17.60900,6,0.5,1,0,100,0,0,0,0,na,na
A42075,1.207500,1,0.03,0.3,0,50,210.1360,5,0.5,2,0,550,208.2300,5,1,8,0,300,14.24700,6,0.5,1,0,100,0,0,0,0,na,na
A42079,6.539500,1,0.03,0.3,0,50,464.5370,5,0.5,2,0,550,51.54550,5,1,8,0,300,5.975500,6,0.5,1,0,100,0,0,0,0,na,na
A42081,2.776000,1,0.03,0.3,0,50,449.1540,5,0.5,2,0,550,45.86400,5,1,8,0,300,4.776000,6,0.5,1,0,100,0,0,0,0,na,na
A42083,9.667500,1,0.03,0.3,0,50,851.7525,5,0.5,2,0,550,6.386500,5,1,8,0,300,0.571000,6,0.5,1,0,100,0,0,0,0,na,na
A42087,0.319000,1,0.03,0.3,0,50,619.6230,5,0.5,2,0,550,32.52900,5,1,8,0,300,3.154500,6,0.5,1,0,100,0,0,0,0,na,na
A42093,0.950000,1,0.03,0.3,0,50,274.0880,5,0.5,2,0,550,14.45850,5,1,8,0,300,0.914500,6,0.5,1,0,100,0,0,0,0,na,na
A42097,2.271000,1,0.03,0.3,0,50,121.0520,5,0.5,2,0,550,146.2415,5,1,8,0,300,8.669500,6,0.5,1,0,100,0,0,0,0,na,na
A42099,2.353500,1,0.03,0.3,0,50,291.6630,5,0.5,2,0,550,22.26050,5,1,8,0,300,1.309500,6,0.5,1,0,100,0,0,0,0,na,na
A42105,2.757000,1,0.03,0.3,0,50,727.8365,5,0.5,2,0,550,25.44650,5,1,8,0,300,2.119000,6,0.5,1,0,100,0,0,0,0,na,na
A42107,1.420500,1,0.03,0.3,0,50,273.8450,5,0.5,2,0,550,30.83700,5,1,8,0,300,1.917500,6,0.5,1,0,100,0,0,0,0,na,na
A42109,0.115000,1,0.03,0.3,0,50,263.8505,5,0.5,2,0,550,35.56350,5,1,8,0,300,2.529000,6,0.5,1,0,100,0,0,0,0,na,na
A42111,3.333500,1,0.03,0.3,0,50,562.8975,5,0.5,2,0,550,17.51500,5,1,8,0,300,1.600000,6,0.5,1,0,100,0,0,0,0,na,na
A42113,3.738000,1,0.03,0.3,0,50,793.1755,5,0.5,2,0,550,18.20550,5,1,8,0,300,2.519500,6,0.5,1,0,100,0,0,0,0,na,na
A42115,0.013500,1,0.03,0.3,0,50,781.4275,5,0.5,2,0,550,17.22250,5,1,8,0,300,1.734000,6,0.5,1,0,100,0,0,0,0,na,na
A42117,1.232000,1,0.03,0.3,0,50,571.7330,5,0.5,2,0,550,39.29150,5,1,8,0,300,3.270500,6,0.5,1,0,100,0,0,0,0,na,na
A42119,0.235500,1,0.03,0.3,0,50,574.4845,5,0.5,2,0,550,37.16700,5,1,8,0,300,3.344500,6,0.5,1,0,100,0,0,0,0,na,na
A42127,1.121000,1,0.03,0.3,0,50,984.2990,5,0.5,2,0,550,16.79300,5,1,8,0,300,1.595000,6,0.5,1,0,100,0,0,0,0,na,na
A42131,2.019000,1,0.03,0.3,0,50,456.5065,5,0.5,2,0,550,27.43000,5,1,8,0,300,2.585000,6,0.5,1,0,100,0,0,0,0,na,na
A42133,1.481500,1,0.03,0.3,0,50,317.5465,5,0.5,2,0,550,51.54050,5,1,8,0,300,3.037000,6,0.5,1,0,100,0,0,0,0,na,na
A47091,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A47163,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51001,0.054000,1,0.03,0.3,0,50,274.7785,5,0.5,2,0,550,20.55150,5,1,8,0,300,1.661000,6,0.5,1,0,100,0,0,0,0,na,na
A51003,15.06200,1,0.03,0.3,0,50,203.5060,5,0.5,2,0,550,61.16800,5,1,8,0,300,3.281000,6,0.5,1,0,100,0,0,0,0,na,na
A51005,68.68800,1,0.03,0.3,0,50,554.3735,5,0.5,2,0,550,48.48250,5,1,8,0,300,4.873500,6,0.5,1,0,100,0,0,0,0,na,na
A51007,0.,1,0.03,0.3,0,50,153.1645,5,0.5,2,0,550,13.26300,5,1,8,0,300,0.453000,6,0.5,1,0,100,0,0,0,0,na,na
A51009,4.644000,1,0.03,0.3,0,50,312.5045,5,0.5,2,0,550,114.7720,5,1,8,0,300,11.21500,6,0.5,1,0,100,0,0,0,0,na,na
A51011,0.535500,1,0.03,0.3,0,50,102.7320,5,0.5,2,0,550,57.28400,5,1,8,0,300,1.836500,6,0.5,1,0,100,0,0,0,0,na,na
A51013,3.694000,1,0.03,0.3,0,50,212.9980,5,0.5,2,0,550,17.10400,5,1,8,0,300,1.263000,6,0.5,1,0,100,0,0,0,0,na,na
A51015,0.313500,1,0.03,0.3,0,50,233.9170,5,0.5,2,0,550,152.8015,5,1,8,0,300,15.77750,6,0.5,1,0,100,0,0,0,0,na,na
A51017,20.67000,1,0.03,0.3,0,50,567.3895,5,0.5,2,0,550,24.36250,5,1,8,0,300,1.926000,6,0.5,1,0,100,0,0,0,0,na,na
A51019,0.002000,1,0.03,0.3,0,50,133.0695,5,0.5,2,0,550,172.5580,5,1,8,0,300,6.309500,6,0.5,1,0,100,0,0,0,0,na,na
A51021,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51023,2.665500,1,0.03,0.3,0,50,537.1185,5,0.5,2,0,550,12.14800,5,1,8,0,300,1.031000,6,0.5,1,0,100,0,0,0,0,na,na
A51025,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51027,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51029,0.357500,1,0.03,0.3,0,50,159.4320,5,0.5,2,0,550,50.83400,5,1,8,0,300,1.874500,6,0.5,1,0,100,0,0,0,0,na,na
A51031,3.525500,1,0.03,0.3,0,50,98.09050,5,0.5,2,0,550,48.90500,5,1,8,0,300,1.502500,6,0.5,1,0,100,0,0,0,0,na,na
A51033,1.353500,1,0.03,0.3,0,50,149.1395,5,0.5,2,0,550,83.10100,5,1,8,0,300,6.416500,6,0.5,1,0,100,0,0,0,0,na,na
A51035,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51036,2.849000,1,0.03,0.3,0,50,302.6700,5,0.5,2,0,550,51.26050,5,1,8,0,300,4.613500,6,0.5,1,0,100,0,0,0,0,na,na
A51037,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51041,3.205500,1,0.03,0.3,0,50,86.71400,5,0.5,2,0,550,99.47350,5,1,8,0,300,8.745500,6,0.5,1,0,100,0,0,0,0,na,na
A51043,4.657500,1,0.03,0.3,0,50,442.2225,5,0.5,2,0,550,35.53750,5,1,8,0,300,2.658500,6,0.5,1,0,100,0,0,0,0,na,na
A51045,6.019500,1,0.03,0.3,0,50,396.3020,5,0.5,2,0,550,84.80750,5,1,8,0,300,10.17650,6,0.5,1,0,100,0,0,0,0,na,na
A51047,0.190500,1,0.03,0.3,0,50,138.4525,5,0.5,2,0,550,97.66299,5,1,8,0,300,4.453000,6,0.5,1,0,100,0,0,0,0,na,na
A51049,0.015500,1,0.03,0.3,0,50,259.4385,5,0.5,2,0,550,32.69750,5,1,8,0,300,1.278500,6,0.5,1,0,100,0,0,0,0,na,na
A51051,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51053,0.032000,1,0.03,0.3,0,50,47.14300,5,0.5,2,0,550,49.39800,5,1,8,0,300,1.438500,6,0.5,1,0,100,0,0,0,0,na,na
A51057,3.606500,1,0.03,0.3,0,50,110.0405,5,0.5,2,0,550,113.0865,5,1,8,0,300,8.665500,6,0.5,1,0,100,0,0,0,0,na,na
A51059,0.,1,0.03,0.3,0,50,315.6855,5,0.5,2,0,550,25.28700,5,1,8,0,300,1.113500,6,0.5,1,0,100,0,0,0,0,na,na
A51061,0.129000,1,0.03,0.3,0,50,458.6880,5,0.5,2,0,550,7.137000,5,1,8,0,300,0.509500,6,0.5,1,0,100,0,0,0,0,na,na
A51063,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51065,7.559500,1,0.03,0.3,0,50,71.84700,5,0.5,2,0,550,108.9785,5,1,8,0,300,4.357500,6,0.5,1,0,100,0,0,0,0,na,na
A51067,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A51069,5.488000,1,0.03,0.3,0,50,411.6295,5,0.5,2,0,550,13.62350,5,1,8,0,300,0.869500,6,0.5,1,0,100,0,0,0,0,na,na
