 point source lrseg ,A42037SU3_1280_1590
 point source lrseg ,A42015SU2_0890_0900
 point source lrseg ,A42043SL9_2050_2270
 point source lrseg ,B42035SW3_1600_1580
 point source lrseg ,A42029SL2_2480_0001
 point source lrseg ,A42001PM3_3040_3340
 point source lrseg ,A42131SU7_0950_1010
 point source lrseg ,A42087SJ5_2120_1930
 point source lrseg ,B42009SJ2_2900_2740
 point source lrseg ,A42131SU3_0710_0910
 point source lrseg ,B42001PU2_2790_3290
 point source lrseg ,A42061SJ3_2230_2060
 point source lrseg ,A42113SW2_1070_1060
 point source lrseg ,A42061SJ2_2500_2450
 point source lrseg ,A42061SJ2_2580_2500
 point source lrseg ,A42061SJ4_2360_2340
 point source lrseg ,A42107SL2_1810_2030
 point source lrseg ,A42037SU1_1630_1610
 point source lrseg ,A42055SL2_2540_2370
 point source lrseg ,A42033SW2_1360_1430
 point source lrseg ,A42099SJ6_2130_2050
 point source lrseg ,B42079SU2_1200_1310
 point source lrseg ,B42081SW3_1220_1320
 point source lrseg ,A42079SU7_1120_1140
 point source lrseg ,A42105SW2_0880_0930
 point source lrseg ,A42107ZZ0_9999_9999
 point source lrseg ,A42037SU3_1500_1420
 point source lrseg ,A42057SJ2_2580_2500
 point source lrseg ,A42027SW2_1770_1690
 point source lrseg ,A42015SU7_0730_0860
 point source lrseg ,A42111ZZ0_9999_9999
 point source lrseg ,A42115SU2_0780_0710
 point source lrseg ,A42057SJ4_2740_2660
 point source lrseg ,A42027SW1_1910_1890
 point source lrseg ,B42055PU2_3080_3640
 point source lrseg ,A42079ZZ0_9999_9999
 point source lrseg ,B42119SL3_1740_1840
 point source lrseg ,A42071SL2_2410_2700
 point source lrseg ,A42097SL2_1670_1880
 point source lrseg ,A42099SL8_2030_2080
 point source lrseg ,A42113SW2_1030_1060
 point source lrseg ,A42099SL3_2290_2260
 point source lrseg ,A42117SU1_0840_0831
 point source lrseg ,A42117SU3_0831_0790
 point source lrseg ,A42029EU1_2650_0001
 point source lrseg ,A42011SL1_2190_2350
 point source lrseg ,A42011SL2_2200_2350
 point source lrseg ,A42029EU1_2810_0001
 point source lrseg ,A42113SU2_0990_0950
 point source lrseg ,A42115SU3_0710_0910
 point source lrseg ,A42131SU7_0980_1120
 point source lrseg ,A42115SU1_0660_0710
 point source lrseg ,A42131SU2_0760_0960
 point source lrseg ,A42115SU2_0760_0960
 point source lrseg ,A42131SU2_1020_0980
 point source lrseg ,A42069SU2_0780_0710
 point source lrseg ,A42131SU7_0860_0960
 point source lrseg ,A42115SU2_0670_0810
 point source lrseg ,A42079SU2_1200_1310
 point source lrseg ,A42011SL1_2000_2090
 point source lrseg ,B42001PM3_3040_3340
 point source lrseg ,A42071SL9_2310_2430
 point source lrseg ,A42071SL2_2480_0001
 point source lrseg ,A42071SL9_2720_0001
