TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51165,50,1.000000,1.618077,1.5,20.00000,15.45043,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51167,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51171,50,1.000000,10.27174,1.5,20.00000,2.433861,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51173,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51175,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51177,50,1.000000,2.684958,1.5,20.00000,9.311131,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51179,50,1.000000,1.304136,1.5,20.00000,19.16979,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51181,50,1.000000,50.44717,1.5,20.00000,0.495568,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51183,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51187,50,1.000000,16.76600,1.5,20.00000,1.491114,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51191,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51193,50,1.000000,30.20529,1.5,20.00000,0.827669,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51195,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51197,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51199,50,1.000000,17.39425,1.5,20.00000,1.437256,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51510,50,1.000000,77.81413,1.5,20.00000,0.321278,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51515,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51520,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51530,50,1.000000,5.463108,1.5,20.00000,4.576148,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51540,50,1.000000,1.110603,1.5,20.00000,22.51029,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51550,50,1.000000,0.883787,1.5,20.00000,28.28742,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51570,50,1.000000,0.622592,1.5,20.00000,40.15474,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51580,50,1.000000,4.903286,1.5,20.00000,5.098621,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51590,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51595,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51600,50,1.000000,0.584872,1.5,20.00000,42.74438,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51610,50,1.000000,48.72454,1.5,20.00000,0.513088,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51620,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51630,50,1.000000,1.353038,1.5,20.00000,18.47692,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
