TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A47163,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51001,0.067500,1,0.03,0.3,0,50,276.5265,5,0.5,2,0,550,28.10300,5,1,8,0,300,2.455000,6,0.5,1,0,100,0,0,0,0,na,na
A51003,19.93700,1,0.03,0.3,0,50,198.8360,5,0.5,2,0,550,90.83650,5,1,8,0,300,5.341500,6,0.5,1,0,100,0,0,0,0,na,na
A51005,68.97150,1,0.03,0.3,0,50,528.2160,5,0.5,2,0,550,77.67250,5,1,8,0,300,8.156000,6,0.5,1,0,100,0,0,0,0,na,na
A51007,0.,1,0.03,0.3,0,50,166.6665,5,0.5,2,0,550,13.34950,5,1,8,0,300,0.431500,6,0.5,1,0,100,0,0,0,0,na,na
A51009,6.980500,1,0.03,0.3,0,50,256.8610,5,0.5,2,0,550,152.9630,5,1,8,0,300,14.74350,6,0.5,1,0,100,0,0,0,0,na,na
A51011,1.427500,1,0.03,0.3,0,50,108.2220,5,0.5,2,0,550,58.84600,5,1,8,0,300,1.817500,6,0.5,1,0,100,0,0,0,0,na,na
A51013,4.431000,1,0.03,0.3,0,50,217.6000,5,0.5,2,0,550,30.00900,5,1,8,0,300,2.299000,6,0.5,1,0,100,0,0,0,0,na,na
A51015,1.245500,1,0.03,0.3,0,50,192.1675,5,0.5,2,0,550,188.2840,5,1,8,0,300,19.17750,6,0.5,1,0,100,0,0,0,0,na,na
A51017,21.68100,1,0.03,0.3,0,50,545.8210,5,0.5,2,0,550,46.81700,5,1,8,0,300,4.300000,6,0.5,1,0,100,0,0,0,0,na,na
A51019,0.090500,1,0.03,0.3,0,50,136.6865,5,0.5,2,0,550,194.4015,5,1,8,0,300,7.478500,6,0.5,1,0,100,0,0,0,0,na,na
A51021,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
